Order Date,Sales
2014-01-03,16.448
2014-01-04,288.06
2014-01-05,19.536
2014-01-06,4407.1
2014-01-07,87.15799999999999
2014-01-09,40.544
2014-01-10,54.83
2014-01-11,9.94
2014-01-13,3553.795
2014-01-14,61.96
2014-01-15,149.95
2014-01-16,299.964
2014-01-18,64.864
2014-01-19,378.594
2014-01-20,2673.87
2014-01-21,25.248
2014-01-23,46.019999999999996
2014-01-26,1097.25
2014-01-27,426.67
2014-01-28,3.928
2014-01-30,240.5
2014-01-31,290.666
2014-02-01,468.9
2014-02-02,211.64600000000002
2014-02-03,97.11200000000001
2014-02-04,134.38400000000001
2014-02-06,330.512
2014-02-07,180.32
2014-02-08,14.56
2014-02-11,2043.4
2014-02-12,129.568
2014-02-14,576.726
2014-02-15,21.36
2014-02-16,9.04
2014-02-17,54.208
2014-02-18,37.784
2014-02-20,95.59
2014-02-21,8.85
2014-02-22,19.44
2014-02-23,11.364
2014-02-24,55.672
2014-02-27,19.456
2014-03-01,2203.151
2014-03-02,202.384
2014-03-03,1345.8919999999998
2014-03-04,370.452
2014-03-05,705.562
2014-03-07,1561.062
2014-03-10,741.956
2014-03-11,918.314
2014-03-14,2108.55
2014-03-15,370.78200000000004
2014-03-16,471.92
2014-03-17,3960.358
2014-03-18,28106.716
2014-03-19,590.762
2014-03-21,4109.816
2014-03-22,464.09299999999996
2014-03-23,945.064
2014-03-24,65.38
2014-03-25,459.146
2014-03-26,145.13
2014-03-28,1823.8039999999999
2014-03-29,890.841
2014-03-30,1170.3220000000001
2014-03-31,1959.552
2014-04-01,119.88799999999999
2014-04-02,1458.558
2014-04-03,233.45
2014-04-04,475.844
2014-04-05,5295.098000000001
2014-04-06,1650.69
2014-04-07,1021.1700000000001
2014-04-08,1958.75
2014-04-11,1915.24
2014-04-12,1912.123
2014-04-13,638.576
2014-04-15,294.71999999999997
2014-04-16,39.072
2014-04-18,1020.532
2014-04-19,205.47
2014-04-20,1250.45
2014-04-21,845.36
2014-04-22,257.752
2014-04-23,643.98
2014-04-25,2379.9939999999997
2014-04-26,282.568
2014-04-28,2578.476
2014-04-29,768.8439999999999
2014-04-30,1048.74
2014-05-02,506.12
2014-05-03,72.632
2014-05-04,187.43200000000002
2014-05-05,260.977
2014-05-06,254.456
2014-05-07,1091.35
2014-05-08,1799.97
2014-05-09,394.48
2014-05-10,2343.799
2014-05-11,1642.802
2014-05-12,734.846
2014-05-13,898.382
2014-05-14,310.88
2014-05-16,289.28
2014-05-17,91.68
2014-05-18,948.9480000000001
2014-05-19,91.62
2014-05-20,320.10400000000004
2014-05-21,4264.3279999999995
2014-05-22,180.93
2014-05-23,323.75800000000004
2014-05-24,116.28
2014-05-25,119.53999999999999
2014-05-26,1325.718
2014-05-27,2157.394
2014-05-28,221.96800000000002
2014-05-30,1924.913
2014-05-31,773.7
2014-06-01,5188.5199999999995
2014-06-02,738.598
2014-06-03,741.336
2014-06-04,456.272
2014-06-06,1374.0010000000002
2014-06-07,281.397
2014-06-08,2501.264
2014-06-09,5463.008
2014-06-10,491.55
2014-06-13,14.52
2014-06-14,212.94
2014-06-15,942.9739999999999
2014-06-16,763.792
2014-06-17,3418.5020000000004
2014-06-18,139.8
2014-06-20,1828.9496
2014-06-21,4107.443
2014-06-22,1975.498
2014-06-23,109.49600000000001
2014-06-24,4.272
2014-06-25,792.76
2014-06-27,616.14
2014-06-28,1645.791
2014-06-29,46.68
2014-06-30,739.624
2014-07-01,601.0239999999999
2014-07-02,79.56
2014-07-04,247.40800000000002
2014-07-05,1444.104
2014-07-06,1038.472
2014-07-07,241.19400000000002
2014-07-08,763.0740000000001
2014-07-09,265.521
2014-07-11,2187.206
2014-07-12,1960.012
2014-07-13,351.216
2014-07-14,292.594
2014-07-15,9.51
2014-07-18,273.04
2014-07-19,461.326
2014-07-20,2285.786
2014-07-21,1961.482
2014-07-22,1348.344
2014-07-23,2613.1839999999997
